Time,Account,Type,Details
2025-12-21 07:04:36.331652+00:00,N/A,Privilege Escalation,
2025-12-21 07:04:36.441193+00:00,N/A,Privilege Escalation,
2025-12-21 07:04:38.388515+00:00,N/A,Privilege Escalation,
2025-12-21 07:06:38.448261+00:00,N/A,Privilege Escalation,
2025-12-21 07:06:39.231245+00:00,N/A,Privilege Escalation,
2025-12-21 07:09:06.948824+00:00,N/A,Privilege Escalation,
2025-12-21 07:12:38.474989+00:00,N/A,Privilege Escalation,
2025-12-21 07:16:43.710974+00:00,N/A,Privilege Escalation,
2025-12-21 07:16:43.932625+00:00,N/A,Privilege Escalation,
2025-12-21 07:16:45.668972+00:00,N/A,Privilege Escalation,
2025-12-21 07:24:45.910439+00:00,N/A,Privilege Escalation,
2025-12-21 07:24:46.195623+00:00,N/A,Privilege Escalation,
2025-12-21 07:31:43.667856+00:00,N/A,Privilege Escalation,
2025-12-21 07:31:43.895855+00:00,N/A,Privilege Escalation,
2025-12-21 08:04:41.492384+00:00,N/A,Privilege Escalation,
2025-12-21 08:15:23.495277+00:00,N/A,Privilege Escalation,
2025-12-21 08:15:24.526434+00:00,N/A,Privilege Escalation,
2025-12-21 08:21:23.525505+00:00,N/A,Privilege Escalation,
2025-12-21 08:25:14.960423+00:00,N/A,Privilege Escalation,
2025-12-21 08:25:16.053303+00:00,N/A,Privilege Escalation,
2025-12-21 08:25:16.529474+00:00,N/A,Privilege Escalation,
2025-12-21 08:25:23.059652+00:00,N/A,Privilege Escalation,
2025-12-21 08:25:24.372101+00:00,N/A,Privilege Escalation,
2025-12-21 08:25:24.377930+00:00,N/A,Privilege Escalation,
2025-12-21 08:25:24.380154+00:00,N/A,Privilege Escalation,
2025-12-21 08:25:24.388231+00:00,N/A,Privilege Escalation,
2025-12-21 08:25:24.390045+00:00,N/A,Privilege Escalation,
2025-12-21 08:25:24.453415+00:00,N/A,Privilege Escalation,
2025-12-21 08:25:25.487730+00:00,N/A,Privilege Escalation,
2025-12-21 08:25:26.728033+00:00,N/A,Privilege Escalation,
2025-12-21 08:25:29.062366+00:00,N/A,Privilege Escalation,
2025-12-21 08:25:29.066780+00:00,N/A,Privilege Escalation,
2025-12-21 08:25:29.069637+00:00,N/A,Privilege Escalation,
2025-12-21 08:25:29.076262+00:00,N/A,Privilege Escalation,
2025-12-21 08:25:29.078276+00:00,N/A,Privilege Escalation,
2025-12-21 08:25:29.090000+00:00,N/A,Privilege Escalation,
2025-12-21 08:25:30.624813+00:00,N/A,Privilege Escalation,
2025-12-21 08:25:31.758957+00:00,N/A,Privilege Escalation,
2025-12-21 08:25:32.766359+00:00,N/A,Privilege Escalation,
2025-12-21 08:25:38.322861+00:00,N/A,Privilege Escalation,
2025-12-21 08:26:04.154587+00:00,N/A,Privilege Escalation,
2025-12-21 08:26:04.243200+00:00,N/A,Privilege Escalation,
2025-12-21 08:51:23.781685+00:00,N/A,Privilege Escalation,
2025-12-21 09:13:27.310560+00:00,N/A,Privilege Escalation,
2025-12-21 09:15:35.744335+00:00,N/A,Privilege Escalation,
2025-12-21 09:15:36.800026+00:00,N/A,Privilege Escalation,
2025-12-21 09:21:35.754072+00:00,N/A,Privilege Escalation,
2025-12-21 09:24:43.666693+00:00,N/A,Privilege Escalation,
2025-12-21 09:28:08.695766+00:00,N/A,Privilege Escalation,
2025-12-21 10:13:38.093374+00:00,N/A,Privilege Escalation,
2025-12-21 10:15:46.536182+00:00,N/A,Privilege Escalation,
2025-12-21 10:15:47.681448+00:00,N/A,Privilege Escalation,
2025-12-21 10:21:46.525190+00:00,N/A,Privilege Escalation,
2025-12-21 10:24:43.658981+00:00,N/A,Privilege Escalation,
2025-12-21 10:28:08.938980+00:00,N/A,Privilege Escalation,
